gen,nevals,avg,max
0,100,0.868469055374593,0.9142236699239956
1,78,0.8833984799131378,0.9131378935939196
2,83,0.890542888165038,0.9163952225841476
3,82,0.8960912052117261,0.9207383279044516
4,85,0.9000434310532031,0.9185667752442996
5,86,0.9031813246471228,0.9218241042345277
6,73,0.9054831704668836,0.9261672095548317
7,78,0.9091422366992399,0.9294245385450597
8,85,0.9127470141150923,0.9294245385450597
9,89,0.912356134636265,0.9294245385450597
10,85,0.9138219326818674,0.9326818675352877
11,89,0.9153420195439739,0.9326818675352877
12,87,0.9182301845819762,0.9326818675352877
13,82,0.9177741585233443,0.9326818675352877
14,77,0.920629750271444,0.9337676438653637
15,88,0.9194679695982628,0.9326818675352877
16,91,0.9193268186753528,0.9359391965255157
17,89,0.9200325732899023,0.9337676438653637
18,82,0.9208794788273614,0.9337676438653637
19,93,0.9204668838219326,0.9359391965255157
20,84,0.9228013029315959,0.9359391965255157
21,79,0.9219978284473399,0.9359391965255157
22,82,0.9235830618892507,0.9348534201954397
23,88,0.921845819761129,0.9370249728555917
24,74,0.9234201954397395,0.9370249728555917
25,78,0.9213137893593921,0.9370249728555917
26,85,0.9219761129207381,0.9370249728555917
27,85,0.9217155266015201,0.9370249728555917
28,86,0.9230184581976111,0.9370249728555917
29,86,0.9233550488599347,0.9370249728555917
30,87,0.9227795874049944,0.9381107491856677
31,91,0.9227470141150923,0.9381107491856677
32,88,0.9229967426710098,0.9381107491856677
33,88,0.9229424538545059,0.9370249728555917
34,87,0.9221824104234527,0.9381107491856677
35,86,0.92357220412595,0.9381107491856677
36,82,0.9234744842562432,0.9402823018458197
37,88,0.9249511400651466,0.9381107491856677
38,85,0.9241585233441911,0.9381107491856677
39,81,0.9212160694896852,0.9370249728555917
40,82,0.9229533116178068,0.9370249728555917
41,86,0.9225624321389791,0.9381107491856677
42,85,0.9240390879478827,0.9370249728555917
43,88,0.9249294245385451,0.9381107491856677
44,86,0.9258089033659067,0.9381107491856677
45,90,0.9252551574375678,0.9370249728555917
46,85,0.9257546145494028,0.9402823018458197
47,76,0.9261454940282302,0.9391965255157437
48,89,0.9246796959826276,0.9391965255157437
49,90,0.9263843648208469,0.9391965255157437
50,88,0.9226818675352878,0.9391965255157437
